2020-07-17 11:27:34.294 [DEBU] [  5 ms] SHOW TABLES
2020-07-17 11:27:34.297 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-17 11:27:34.300 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-17 11:27:34.302 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-17 11:27:34.305 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `rules`
2020-07-17 13:31:36.381 [DEBU] [  3 ms] SHOW TABLES
2020-07-17 13:31:36.397 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-17 13:31:36.399 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-17 13:31:36.402 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-17 13:31:36.404 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `rules`
2020-07-17 14:46:17.262 [DEBU] [  3 ms] SHOW TABLES
2020-07-17 14:46:17.284 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-17 14:46:17.288 [DEBU] [  0 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-17 14:46:17.291 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-17 14:46:17.293 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `menus`
2020-07-17 22:29:32.048 [DEBU] [  3 ms] SHOW TABLES
2020-07-17 22:29:32.063 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-17 22:29:32.066 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-17 22:29:32.068 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-17 22:29:32.070 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `dictionaries`
2020-07-17 22:29:32.074 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `dictionary_details`
2020-07-17 22:29:32.077 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `menus`
